GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES,,
771,209,1629RTA,05-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Dhaka,Dhaka,Savar,Savar,23.8710,90.2695,1,The New Nation (Bangladesh),Jahangirnagar University Journalist Association (JUJA) formed a human chain on Sunday at JU Central Shaheed Minar premises. They werer potesting the murder of Abdul Hakim Shimul of Daily Samakal and demanding exemplary punishment to the killers immediately.,0,,
771,205,1630RTA,06-February-2017,2017,1,Violence against civilians,Police Forces of Myanmar,BGP: Border Guard Police,8,Civilians (Bangladesh),,7,78,Bangladesh,Chittagong,Cox's Bazar,Teknaf,Teknaf,20.8582,92.2976,2,The Financial Express (Bangladesh),A Bangladeshi fisherman was shot dead and another injured as Myanmar Border Guard Police (BGP) opened fire on them while fishing in the Bay of Bengal near Teknaf upazila early Monday. A BGP team intruded into the Bangladesh water territory.,1,,
771,208,1631RTA,08-February-2017,2017,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),,7,37,Bangladesh,Mymensingh,Jamalpur,Islampur,Islampur,25.1099,89.7739,2,The Financial Express (Bangladesh),A former member of Kulkandi Union Parishad was killed by unidentified assailants at Baburchar village in Islampur upazila early Wednesday.,1,,
771,217,1632RTA,09-February-2017,2017,1,Battle-No change of territory,Purba Satjan Communal Militia (Bangladesh),,4,Purba Satjan Communal Militia (Bangladesh),,4,44,Bangladesh,Rangpur,Nilphamari,Dimla,Dimla,26.1442,88.9508,2,United News of Bangladesh,"A man who sustained injuries in a clash over land at Purba Satjan village in Nautara union of Dimla upazila on Thursday, died at Rangpur Medical College Hosptal on Friday morning",1,,
771,214,1633RTA,09-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Dhaka,Dhaka,Ramna,23.7335,90.3986,1,The New Nation (Bangladesh),Police clashed with BNP leaders and activists when they tried to gather near the Matsya Bhaban intersection in the city on Thursday morning. At least nine activists of BNP were injured during the clash.,0,,
771,210,1634RTA,09-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),Bangladesh Awami League,5,Rioters (Bangladesh),Bangladesh Awami League,5,55,Bangladesh,Dhaka,Faridpur,Sadarpur,Sadarpur,23.4676,90.0276,1,United News of Bangladesh,"At least 10 people, including a local journalist, were injured in a clash between two rival groups of Awami League in Sadarpur upazila on Thursday morning.",0,,
771,211,1635RTA,09-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),,5,Rioters (Bangladesh),,5,55,Bangladesh,Chittagong,Comilla,Brahmanpara,Shildai,23.6587,91.0824,1,The Financial Express (Bangladesh),A person was killed and 40 people were injured in a clash between two groups at Shildai village of Brahmanpara upazila on Thursday.,1,,
771,213,1636RTA,09-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),,5,Rioters (Bangladesh),,5,55,Bangladesh,Sylhet,Sylhet,Sylhet,Sylhet,24.9050,91.8601,1,The New Nation (Bangladesh),Staffs of Sylhet Deputy Commissioner Office on Thursday attacked the officials of Anti-Corruption Commission (ACC) when they stormed their office to catch them with bribe money. Some persons were injured in the attack.,0,,
771,215,1637RTA,10-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),,5,Rioters (Bangladesh),,5,55,Bangladesh,Chittagong,Noakhali,Hatiya,Hatiya,22.2907,91.1395,2,United News of Bangladesh,"A man sustained bullet wounds and two women were injured in a clash between two groups of villagers over establishing supremacy at Mirza village in Hatiya upazila on Friday evening. Two groups, one led by incumbent chairman of Charkin Union Parishad Mahiuddin and the other by former chairman Mohiuddin Monir, had been at loggerheads over establishing dominance at the village.",0,,
771,212,1638RTA,10-February-2017,2017,1,Violence against civilians,Police Forces of India,BSF: Border Security Force,8,Civilians (Bangladesh),,7,78,Bangladesh,Rangpur,Kurigram,Rowmari,Rowmari,25.5755,89.8304,2,The Financial Express (Bangladesh),A Bangladeshi national was shot dead by members of Indian Border Security Force (BSF) along Datbhanga border in Roumari upazila under Kurigram early Friday.,1,,
771,228,1639RTA,11-February-2017,2017,1,Battle-No change of territory,BCL: Bangladesh Chhatra League Militia,,3,BCL: Bangladesh Chhatra League Militia,,3,33,Bangladesh,Khulna,Jessore,Sharsha,Navaron,23.0609,89.0156,1,The New Nation (Bangladesh),Ulashi union unit Bangladesh Chhatra League member was killed over a feud between two factions of the ruling party at Nabharan under Sharsha upazila in Jessore on February 11 night.,1,,
771,216,1640RTA,11-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,55,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,23.3494,91.8136,1,United News of Bangladesh,An activist of Bangladesh Chhatra League (BCL) was killed in a clash between its two rival groups in Riajuddin Bazar area of city on Saturday.,1,,
771,219,1641RTA,12-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,55,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,23.3494,91.8136,1,United News of Bangladesh,Eight people were injured in a clash between two factions of Bangladesh Chhatra League (BCL) at Chittagong University (CU) early Sunday.,0,,
771,218,1642RTA,12-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),,6,Police Forces of Bangladesh,,1,16,Bangladesh,Khulna,Jessore,Jessore Sadar,Jessore,23.1783,89.1801,1,United News of Bangladesh,Biplob's supporters blocked Jessore-Benapole road for one hour. Police rushed in and brought the situation under control.,0,,
771,225,1643RTA,13-February-2017,2017,1,Battle-No change of territory,Bangladesh Awami League Militia,,3,Bangladesh Awami League Militia,,3,33,Bangladesh,Dhaka,Dhaka,Dhaka,Motijheel,23.7334,90.4171,1,United News of Bangladesh,A young man was shot during a clash between two factions of Awami League at the political office of MP Golam Dastagir in the city's Purana Paltan area on Monday.,1,,
771,220,1644RTA,13-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),Students (Bangladesh),5,Rioters (Bangladesh),Students (Bangladesh),5,55,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,23.3494,91.8136,1,Bangladesh Government News,A student of government city college was killed and another injured in a clash between two factions of students in the city's Reaz Uddin bazaar under Kotwali thana today.,1,,
771,221,1645RTA,13-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,Police Forces of Bangladesh,,1,13,Bangladesh,Dhaka,Munshiganj,,Munshiganj,23.5424,90.5297,2,United News of Bangladesh,An unidentified assailant was killed in a gunfight between his cohorts and police at Boikhor in the district town early Monday.,1,,
771,222,1646RTA,13-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,Military Forces of Bangladesh,,1,13,Bangladesh,Chittagong,Bandarban,Lama,Alikadam,21.6524,92.3086,2,United News of Bangladesh,A unidentified assailant was killed and two children suffered bullet wounds in a gunfight between Bangladesh Army men and criminals in Lama upazila on Monday.,1,,
771,224,1647RTA,14-February-2017,2017,1,Battle-No change of territory,N-JMB: Neo-Jamaat-ul-Mujahideen Bangladesh,,3,Police Forces of Bangladesh,,1,13,Bangladesh,Rajshahi,Bogra,Kahaloo,Kahaloo,24.8291,89.2673,2,United News of Bangladesh,"A suspected new JMB member was killed in a 'gunfight' with police at Patanja in Kahalu upazila early Tuesday. He was killed in a ""gunfight"" early Tuesday",1,,
771,226,1648RTA,14-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,Police Forces of Bangladesh,,1,13,Bangladesh,Chittagong,Cox's Bazar,Maheshkhali,Boro Maheshkhali,21.5385,91.9412,2,United News of Bangladesh,A suspected militant was killed in a clash among two groups of people and police in Majherpara area of Maheshkhali upazila on Tuesday morning,1,,
771,227,1649RTA,15-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,PBCP: Purba Banglar Communist Party,,3,33,Bangladesh,Rajshahi,Pabna,Bera,Dhalarchar,23.8161,89.6663,1,The Financial Express (Bangladesh),A regional leader of the outlawed Purba Banglar Communist Party (PBCP) was killed in a gunfight with his rivals at Dhalarchar area in Bera upazila of Pabna district on Wednesday.,1,,
771,229,1650RTA,15-February-2017,2017,1,Battle-No change of territory,Unidentified Armed Group (Bangladesh),,3,Unidentified Armed Group (Bangladesh),,3,33,Bangladesh,Sylhet,Sunamganj,Jagannathpur,Jagannathpur,24.7716,91.5458,2,United News of Bangladesh,"At least 22 people were injured, including 12 with bullets, in a clash between two rival groups over previous enmity in Jagannathpur upazila on Wednesday. As a sequel of the incident, the both groups, equipped with lethal weapons and firearms, attacked each other around.",0,,
771,230,1651RTA,16-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Dhaka,Faridpur,Faridpur Sadar,Faridpur,23.6034,89.8363,1,Bangladesh Government News,A human chain was formed at the district Press Club premises today protesting the recent threat on two journalists and attacks on locals of Saltha upazila.,0,,
771,280,1652RTA,17-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,Rioters (Bangladesh),Bangladesh Awami League,5,55,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,23.3494,91.8136,1,The Financial Express (Bangladesh),"Mohiuddin's followers locked into a clash with Ifratul and his supporters on February 17, after Ifratul posted a comment on Facebook degrading ABM Mohiuddin Chowdhury, president of the city Awami League.",0,,
771,232,1653RTA,17-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Bangladesh Awami League,6,,,0,60,Bangladesh,Dhaka,Faridpur,Nagarkanda,Nagarkanda,23.4212,89.8948,1,The New Nation (Bangladesh),"Thousands of people of all strata of Saltha and Nagarkandaupazila of Faridpur district Thursday staged a human chain in protest against propaganda lodged against Aimon Akbor Chowdhury, eminent politician, freedom fighter and son of the Deputy Leader of the House SyedaSajeda Chowdhury, at Nagarkanda.",0,,
771,233,1654RTA,19-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),Students (Bangladesh),5,Rioters (Bangladesh),,5,55,Bangladesh,Sylhet,Sylhet,Sylhet,Sylhet,24.9050,91.8601,1,United News of Bangladesh,"Several hundred students gathered at the university main gate and blocked Sylhet-Sunamganj Highway, locked into a clash with locals and vandalised several shops in the area.",0,,
771,275,1655RTA,21-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),,5,Police Forces of Bangladesh,,1,15,Bangladesh,Mymensingh,Mymensingh,Bhaluka,Bhaluka,24.4057,90.3860,2,The Financial Express (Bangladesh),Local people set a bus afire following the death of a pedestrian in a road accident on Dhaka-Mymensingh highway in Masterbari area of Bhaluka upazila of Mymensingh on Tuesday night.,0,,
771,277,1656RTA,24-February-2017,2017,2,Riots/Protests,Protesters (Bangladesh),Labour Group (Bangladesh),6,,,0,60,Bangladesh,Khulna,Chuadanga,,Chuadanga,23.6449,88.8622,2,United News of Bangladesh,Transport workers have blocked five main routes of the district following a call for an indefinite transport strike in the district protesting bus driver Jamir Hossain's life sentence.  The District Bus and Truck Workers Union of Chuadanga started to enforced the strike from Wednesday following the announcement of the verdict. ,0,,
771,276,1657RTA,24-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),JCD: Jatiotabadi Chhatra Dal,5,Police Forces of Bangladesh,,1,15,Bangladesh,Mymensingh,Netrokona,Kendua,Kendua,24.6716,90.8434,1,United News of Bangladesh,"At least 25 people, including 13 policemen, were injured in a clash between police and Jatiyatabadi Chhatra Dal (JCD) men in Kendua upazila headquarters on Friday noon.",0,,
771,279,1658RTA,24-February-2017,2017,1,Riots/Protests,Rioters (Bangladesh),,5,Police Forces of Bangladesh,,1,15,Bangladesh,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur,22.9456,90.8347,2,The Financial Express (Bangladesh),A group of 60/70 villagers attacked the followers of 'Sureswar Majar' during their 'mahfil' in the area on Friday evening that led to a clash. A clash ensued between these two groups and the police in Tumchar area of Lakshmipur.,0,,
771,278,1659RTA,25-February-2017,2017,3,Riots/Protests,Protesters (Bangladesh),,6,,,0,60,Bangladesh,Chittagong,Noakhali,Noakhali Sadar,Noakhali,22.8249,91.1017,1,The Financial Express (Bangladesh),The government's plan to shift the Myanmar refugees from Cox's Bazar has triggered protests in Noakhali with residents demonstrating against it.,0,,
771,284,1660RTA,26-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Aid Workers (Bangladesh),6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Mohakhali,23.7778,90.4049,1,The New Nation (Bangladesh),Hundreds of Saat Tola slum dwellers of Mohakhali on Sunday staged a demonstration in front of Dhaka Water and Sewerage Authority (WASA)'s Zonal Office Mods Zone 5. They were demanding immediate solution to the ongoing water crisis in the slum area.,0,,
771,283,1661RTA,26-February-2017,2017,2,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),Bangladesh Awami League,7,37,Bangladesh,Khulna,Khulna,Khulna,Khulna,22.8481,89.5393,1,The Financial Express (Bangladesh),A local Awami League activist was found dead near a fishing enclosure at Pabla area in Khulna on Monday. ,1,,
771,282,1662RTA,27-February-2017,2017,1,Riots/Protests,Protesters (Bangladesh),Journalists (Bangladesh),6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Ramna,23.7335,90.3986,1,Bangladesh Government News,Bangladesh Federal Union of Journalists (BFUJ) today staged a rally and formed human chain in front of Jatiya Press Club (JPC) here. They were demanding for constituting the 9th wage board.,0,,
811,14,1663RTA,09-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,23,1664RTA,10-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Kampot,,,Kampot,10.6104,104.1814,3,Phnom Penh Post,More than 400 fishing families in four communities in Kampot province protested to demand authorities prevent illegal fishing by Vietnamese fishermen in Cambodian waters.,0,,
811,15,1665RTA,10-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,16,1666RTA,11-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,17,1667RTA,12-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,21,1668RTA,13-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Kampong Speu,Chbar Mon,Chbar Mon,Chbar Mon,11.4867,104.4977,1,Phnom Penh Post,Workers from a garment factory protested outside the factory in Kampong Speu province's Chbar Mon town after their employer vanished without paying a month of their salaries. About 300 workers joined the protest.,0,,
811,18,1669RTA,13-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,22,1670RTA,13-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"About 40 villagers from Phnom Penh gathered at the district governor's house, requesting that he help them obtain compensation for land taken for a government project to build a satellite city on a peninsula.",0,,
811,19,1671RTA,14-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
811,20,1672RTA,15-February-2017,2017,1,Riots/Protests,Protesters (Cambodia),,6,,,0,60,Cambodia,Phnom Penh ,Phnom Penh,Phnom Penh,Phnom Penh,11.5624,104.9160,1,Phnom Penh Post,"Garment workers protested steadily for one week at Phnom Penh Tower, claiming a retail giant was complicit in witholding workers' salaries.",0,,
750,4,1673RTA,01-February-2017,2017,1,Remote violence,CPI (Maoist): Communist Party of India (Maoist),,2,Police Forces of India,,1,12,India,Odisha,Koraput,,Sunki,18.5003,83.0482,2,Hindustan Times,Eight police personnel were killed and five injured in a landmine blast triggered by suspected Maoists in Odisha's Koraput district on Wednesday. ,8,,
750,17,1674RTA,01-February-2017,2017,1,Remote violence,Unidentified Armed Group (India),,3,Police Forces of India,,1,13,India,Manipur,Bishnupur,Nachou,Nachou,24.5974,93.7755,1,UNI (United News of India),"A jawan of 2nd JK Light Infantry was injured in a bomb blast at Nachou, Bishenpur district last night.",0,,
750,3,1675RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),,6,Police Forces of India,,1,16,India,Maharashtra,Thane,Bhiwandi,Bhiwandi,19.3002,73.0588,1,Afternoon Voice,A mob of nearly 200 people were arrested for resorting to road blockade and burning tires after police took objection to pictures of religious figures put up at the welcome arch of Padma Nagar in Bhiwandi.,0,,
750,218,1676RTA,01-February-2017,2017,3,Riots/Protests,Protesters (India),AIKS: All India Kisan Sabha,6,,,0,60,India,Rajasthan,Churu,Churu,Churu,28.3041,74.9671,2,The Times of India (TOI),"Since January 16, the All India Kisan Sabha has been holding protests in different parts of the state seeking that the government roll back the hike and offer farmers and other consumers of electricity relief. Large numbers of farmers gathered in Churu.",0,,
750,221,1677RTA,01-February-2017,2017,3,Riots/Protests,Protesters (India),AIKS: All India Kisan Sabha,6,,,0,60,India,Rajasthan,Hanumangarh ,Hanumangarh ,Hanumangarh ,29.5818,74.3293,2,The Times of India (TOI),"Since January 16, the All India Kisan Sabha has been holding protests in different parts of the state seeking that the government roll back the hike and offer farmers and other consumers of electricity relief. Large numbers of farmers gathered in Hanumangarh.",0,,
750,216,1678RTA,01-February-2017,2017,3,Riots/Protests,Protesters (India),AIKS: All India Kisan Sabha,6,,,0,60,India,Rajasthan,Jaipur,Jaipur,Jaipur,26.9142,75.7872,3,The Times of India (TOI),"Since January 16, the All India Kisan Sabha has been holding protests in different parts of the state seeking that the government roll back the hike and offer farmers and other consumers of electricity relief.",0,,
750,219,1679RTA,01-February-2017,2017,3,Riots/Protests,Protesters (India),AIKS: All India Kisan Sabha,6,,,0,60,India,Rajasthan,Jhunjhunu,Jhunjhunu,Jhunjhunu,28.1255,75.3979,2,The Times of India (TOI),"Since January 16, the All India Kisan Sabha has been holding protests in different parts of the state seeking that the government roll back the hike and offer farmers and other consumers of electricity relief. Large numbers of farmers gathered in Jhunjunu.",0,,
750,65,1680RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),,6,Police Forces of India,,1,16,India,Uttar Pradesh,Lucknow,Lucknow,Lucknow,26.8392,80.9231,1,Hindustan Times,"Five members of a Badaun-based family attempted self immolation in front of Vidhan Bhawan in Lucknow on Wednesday, alleging police inaction against a local politician's aide who allegedly abducted their minor daughter nearly five months ago. Police deployed at Vidhan Bhawan foiled their suicide bid. ",0,,
750,19,1681RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),,6,,,0,60,India,Punjab,Ludhiana ,Ludhiana ,Ludhiana ,30.9120,75.8537,1,The Tribune,"Activists of the Shree Hindu Takhat burnt the effigy of Aam Aadmi Party (AAP) supremo Arvind Kejriwal near the city railway station in Ludhiana on Wednesday, alleging that Kejriwal and his leaders were aligned with the Khalistani activists.",0,,
750,6,1682RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),AAP: Aam Aadmi Party,6,,,0,60,India,Punjab,Bathinda ,Maur,Maur,30.0833,75.2500,1,The Tribune,"Local leaders and workers of the Aam Aadmi Party staged a dharna outside the police station in Maur town on Wednesday, demanding strict action against those behind the car blast near a rally of a Congress candidate at Maur Mandi the day before. They raised slogans against the SAD-BJP ruling alliance for allegedly pressuring the Police Department and administration.",0,,
750,217,1683RTA,01-February-2017,2017,3,Riots/Protests,Protesters (India),AIKS: All India Kisan Sabha,6,,,0,60,India,Rajasthan,Nagaur,Nagaur,Nagaur,27.2020,73.7339,2,The Times of India (TOI),"Since January 16, the All India Kisan Sabha has been holding protests in different parts of the state seeking that the government roll back the hike and offer farmers and other consumers of electricity relief. Large numbers of farmers gathered in Nagaur.",0,,
750,59,1684RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),Indian National Congress,6,,,0,60,India,Delhi,New Delhi,New Delhi,New Delhi,28.6357,77.2244,1,The Tribune,"Union minister Vijay Goel on Wednesday launched his 'Delhi Bachao' campaign along with activists of NGOs and resident welfare association members, protesting the ""pathetic"" condition of the city under the alleged ""misgovernance"" of the AAP government.",0,,
750,53,1685RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),IMA: Indian Medical Association,6,,,0,60,India,Punjab,Patiala,Patiala ,Patiala,30.3362,76.3922,1,The Tribune,"Over 500 members of the Indian Medical Association, Punjab, held a protest in Patiala on Wednesday to oppose some amendments to the Indian Medical Council Act through the Medical Council of India by the Ministry of Health and Family Welfare.",0,,
750,88,1686RTA,01-February-2017,2017,1,Riots/Protests,Protesters (India),Labour Group (India),6,,,0,60,India,Assam,Cachar,Silchar,Silchar,24.8334,92.7791,1,Assam Tribune (India),Protesting workers called off their protest which they had been staging since January 30 this year on Wednesday after the intervention of the officials of the district administration and ONGC authorities. The contractual workers of ONGC under the banner of Deprived Contractual Workers' Union have set a 15-day timeline for the authorities of ONGC Cachar Forward Base to respond to their demands for regularisation of jobs. [Day 3],0,,
750,2,1687RTA,01-February-2017,2017,1,Riots/Protests,Rioters (India),BJP: Bharatiya Janata Party,5,Police Forces of India,,1,15,India,Kerala,Thiruvananthapuram ,Thiruvananthapuram ,Thiruvananthapuram ,8.4855,76.9492,1,United News of India,"Several people were injured when police used force to disperse a group of BJP party activists who were marching towards the Law Academy in Thiruvananthapuram as part of their agitation against Academy Principal Dr Lakshmi Nair. Party workers gathered in large number at Peeroorkada junction where police resorted to lathicharge, burst teargas shells and used water canons to disperse the violent crowd which pelted stones at the police.
",0,,
