"country","item","element","Unit","Date","Value"
"Angola","Maize","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",37400
"Angola","Maize","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",66200
"Angola","Maize","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",37420
"Angola","Maize","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",37830
"Angola","Maize","Producer Price (US $/tonne)","US $/tonne","2010",440.744368
"Angola","Maize","Producer Price (US $/tonne)","US $/tonne","2011",398.1
"Angola","Maize","Producer Price (US $/tonne)","US $/tonne","2012",693.4
"Angola","Maize","Producer Price (US $/tonne)","US $/tonne","2013",387.7
"Angola","Maize","Producer Price (US $/tonne)","US $/tonne","2014",385.4
"Angola","Mangoes, mangosteens, guavas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",118900
"Angola","Mangoes, mangosteens, guavas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",129100
"Angola","Mangoes, mangosteens, guavas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",62000
"Angola","Mangoes, mangosteens, guavas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",143200
"Angola","Mangoes, mangosteens, guavas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",143200
"Angola","Mangoes, mangosteens, guavas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",118900
"Angola","Mangoes, mangosteens, guavas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",129100
"Angola","Mangoes, mangosteens, guavas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",62000
"Angola","Mangoes, mangosteens, guavas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",143200
"Angola","Mangoes, mangosteens, guavas","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",143200
"Angola","Mangoes, mangosteens, guavas","Producer Price (US $/tonne)","US $/tonne","2010",1293.938405
"Angola","Mangoes, mangosteens, guavas","Producer Price (US $/tonne)","US $/tonne","2011",1374.4
"Angola","Mangoes, mangosteens, guavas","Producer Price (US $/tonne)","US $/tonne","2012",649.4
"Angola","Mangoes, mangosteens, guavas","Producer Price (US $/tonne)","US $/tonne","2013",1483.7
"Angola","Mangoes, mangosteens, guavas","Producer Price (US $/tonne)","US $/tonne","2014",1458.7
"Angola","Milk, whole fresh cow","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",50000
"Angola","Milk, whole fresh cow","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",50000
"Angola","Milk, whole fresh cow","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",50000
"Angola","Milk, whole fresh cow","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",50000
"Angola","Milk, whole fresh cow","Producer Price (US $/tonne)","US $/tonne","2013",518
"Angola","Milk, whole fresh cow","Producer Price (US $/tonne)","US $/tonne","2014",509.3
"Angola","Millet","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",28900
"Angola","Millet","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",27300
"Angola","Millet","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",35700
"Angola","Millet","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",27300
"Angola","Millet","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",24710
"Angola","Millet","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",28900
"Angola","Millet","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",27300
"Angola","Millet","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",35700
"Angola","Millet","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",27300
"Angola","Millet","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",24710
"Angola","Millet","Producer Price (US $/tonne)","US $/tonne","2010",314.506475
"Angola","Millet","Producer Price (US $/tonne)","US $/tonne","2011",290.6
"Angola","Millet","Producer Price (US $/tonne)","US $/tonne","2012",373.9
"Angola","Millet","Producer Price (US $/tonne)","US $/tonne","2013",282.8
"Angola","Millet","Producer Price (US $/tonne)","US $/tonne","2014",251.7
"Angola","Onions, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",43690
"Angola","Onions, dry","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",42330
"Angola","Onions, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",43690
"Angola","Onions, dry","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",42330
"Angola","Onions, dry","Producer Price (US $/tonne)","US $/tonne","2013",452.7
"Angola","Onions, dry","Producer Price (US $/tonne)","US $/tonne","2014",431.2
"Angola","Pineapples","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",90600
"Angola","Pineapples","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",86500
"Angola","Pineapples","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",14000
"Angola","Pineapples","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",67560
"Angola","Pineapples","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",68900
"Angola","Pineapples","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",90600
"Angola","Pineapples","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",86500
"Angola","Pineapples","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",14000
"Angola","Pineapples","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",67560
"Angola","Pineapples","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",68900
"Angola","Pineapples","Producer Price (US $/tonne)","US $/tonne","2010",985.961476
"Angola","Pineapples","Producer Price (US $/tonne)","US $/tonne","2011",920.9
"Angola","Pineapples","Producer Price (US $/tonne)","US $/tonne","2012",146.6
"Angola","Pineapples","Producer Price (US $/tonne)","US $/tonne","2013",700
"Angola","Pineapples","Producer Price (US $/tonne)","US $/tonne","2014",701.9
"Angola","Potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",44600
"Angola","Potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",43000
"Angola","Potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",65700
"Angola","Potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",43000
"Angola","Potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",41500
"Angola","Potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",44600
"Angola","Potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",43000
"Angola","Potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",65700
"Angola","Potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",43000
"Angola","Potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",41500
"Angola","Potatoes","Producer Price (US $/tonne)","US $/tonne","2010",485.362934
"Angola","Potatoes","Producer Price (US $/tonne)","US $/tonne","2011",457.8
"Angola","Potatoes","Producer Price (US $/tonne)","US $/tonne","2012",688.2
"Angola","Potatoes","Producer Price (US $/tonne)","US $/tonne","2013",445.5
"Angola","Potatoes","Producer Price (US $/tonne)","US $/tonne","2014",422.7
"Angola","Rice, paddy","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",39100
"Angola","Rice, paddy","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",41500
"Angola","Rice, paddy","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",67600
"Angola","Rice, paddy","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",41500
"Angola","Rice, paddy","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",41500
"Angola","Rice, paddy","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",39100
"Angola","Rice, paddy","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",41500
"Angola","Rice, paddy","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",67600
"Angola","Rice, paddy","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",41500
"Angola","Rice, paddy","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",41500
"Angola","Rice, paddy","Producer Price (US $/tonne)","US $/tonne","2010",425.50876
"Angola","Rice, paddy","Producer Price (US $/tonne)","US $/tonne","2011",441.8
"Angola","Rice, paddy","Producer Price (US $/tonne)","US $/tonne","2012",708.1
"Angola","Rice, paddy","Producer Price (US $/tonne)","US $/tonne","2013",430
"Angola","Rice, paddy","Producer Price (US $/tonne)","US $/tonne","2014",422.7
"Angola","Sorghum","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",28900
"Angola","Sorghum","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",30100
"Angola","Sorghum","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",38800
"Angola","Sorghum","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",30310
"Angola","Sorghum","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",30310
"Angola","Sorghum","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",28900
"Angola","Sorghum","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",30100
"Angola","Sorghum","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",38800
"Angola","Sorghum","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",30310
"Angola","Sorghum","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",30310
"Angola","Sorghum","Producer Price (US $/tonne)","US $/tonne","2010",314.506475
"Angola","Sorghum","Producer Price (US $/tonne)","US $/tonne","2011",320.4
"Angola","Sorghum","Producer Price (US $/tonne)","US $/tonne","2012",406.4
"Angola","Sorghum","Producer Price (US $/tonne)","US $/tonne","2013",314
"Angola","Sorghum","Producer Price (US $/tonne)","US $/tonne","2014",308.8
"Angola","Soybeans","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",100000
"Angola","Soybeans","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",100000
"Angola","Soybeans","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",119000
"Angola","Soybeans","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",100000
"Angola","Soybeans","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",100000
"Angola","Soybeans","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",100000
"Angola","Soybeans","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",100000
"Angola","Soybeans","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",119000
"Angola","Soybeans","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",100000
"Angola","Soybeans","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",100000
"Angola","Soybeans","Producer Price (US $/tonne)","US $/tonne","2010",1088.257699
"Angola","Soybeans","Producer Price (US $/tonne)","US $/tonne","2011",1064.6
"Angola","Soybeans","Producer Price (US $/tonne)","US $/tonne","2012",1246.5
"Angola","Soybeans","Producer Price (US $/tonne)","US $/tonne","2013",1036.1
"Angola","Soybeans","Producer Price (US $/tonne)","US $/tonne","2014",1018.7
"Angola","Sweet potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",26500
"Angola","Sweet potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",25800
"Angola","Sweet potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",44900
"Angola","Sweet potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",25850
"Angola","Sweet potatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",25880
"Angola","Sweet potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",26500
"Angola","Sweet potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",25800
"Angola","Sweet potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",44900
"Angola","Sweet potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",25850
"Angola","Sweet potatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",25880
"Angola","Sweet potatoes","Producer Price (US $/tonne)","US $/tonne","2010",288.38829
"Angola","Sweet potatoes","Producer Price (US $/tonne)","US $/tonne","2011",274.7
"Angola","Sweet potatoes","Producer Price (US $/tonne)","US $/tonne","2012",470.3
"Angola","Sweet potatoes","Producer Price (US $/tonne)","US $/tonne","2013",267.8
"Angola","Sweet potatoes","Producer Price (US $/tonne)","US $/tonne","2014",263.6
"Angola","Tomatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",27820
"Angola","Tomatoes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",27000
"Angola","Tomatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",27820
"Angola","Tomatoes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",27000
"Angola","Tomatoes","Producer Price (US $/tonne)","US $/tonne","2013",288.2
"Angola","Tomatoes","Producer Price (US $/tonne)","US $/tonne","2014",275
"Angola","Vegetables, fresh nes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2010",37700
"Angola","Vegetables, fresh nes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2011",37700
"Angola","Vegetables, fresh nes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2012",59600
"Angola","Vegetables, fresh nes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2013",23320
"Angola","Vegetables, fresh nes","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2014",23320
"Angola","Vegetables, fresh nes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2010",37700
"Angola","Vegetables, fresh nes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2011",37700
"Angola","Vegetables, fresh nes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2012",59600
"Angola","Vegetables, fresh nes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2013",23320
"Angola","Vegetables, fresh nes","Producer Price (Standard local Currency/tonne)","Standard Local Currency/tonne","2014",23320
"Angola","Vegetables, fresh nes","Producer Price (US $/tonne)","US $/tonne","2010",410.273153
"Angola","Vegetables, fresh nes","Producer Price (US $/tonne)","US $/tonne","2011",401.3
"Angola","Vegetables, fresh nes","Producer Price (US $/tonne)","US $/tonne","2012",624.3
"Angola","Vegetables, fresh nes","Producer Price (US $/tonne)","US $/tonne","2013",241.6
"Angola","Vegetables, fresh nes","Producer Price (US $/tonne)","US $/tonne","2014",237.5
"Burundi","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2005",555400
"Burundi","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2006",321900
"Burundi","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2007",346200
"Burundi","Bananas","Producer Price (Local Currency Unit/tonne)","Local Currency Unit/tonne","2008",404850.58
