age,sex,goo,coo,doa,famsize,bro,sis,sib,po,ind,ref,rei,res,dis,gov,cit,hfd,ffd,ad1,ad2,ad3,ad4,ad5,adp,a1,a2,a3,d1,d2,d3,p1,p2,p3,p4,p5,p6
8,female,Homs,,2014,6,,,,Food Industry,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
11,female,Damascus,,2011,5,2,0,2,Food Retail,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
8,male,Aleppo,,2014,8,,,,Mechanic,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,1,0,0,1,0,0,0,0,0
10,male,Daraa,,2012,6,,,,Mechanic,Blue Collar,0,1,0,,,Amman,1,0,1,0,0,0,1,1,-1,0,1,0,0,0,1,0,0,0,0,0
11,male,Daraa,,2012,6,,,,Mechanic,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,1,0,-1,-1,0,1,0,0,0,0,0,0,0,0
8,male,,,,8,,,,N/A,N/A,0,1,0,,,Amman,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
7,male,Aleppo,,2014,7,,,,Painter ,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
5,male,Homs,,2015,5,,,,Retail,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
6,male,Homs,,2015,7,,,,Retail,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,1,1,0,1,1,0,0,0,0,0
6,male,Homs,,2015,5,,,,Retail,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
6,male,Daraa,,2015,4,,,,Retail Clothes,Blue Collar,0,1,0,,,Amman,1,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
10,male,,,2011,7,,,,Retail Food,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,1,0,-1,0,1,0,1,0,1,0,0,0,0,0
10,male,Homs,,2014,5,,,,School,White Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0
8,male,Homs,,2014,5,,,,Teacher,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,1,1,-1,0,1,0,0,0,1,0,0,0,0,
6,female,Aleppo,,2014,8,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
7,female,Aleppo,,2014,7,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,1,0,1,1,0,0,0,0,0
9,female,Aleppo,,2013,9,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
9,female,Aleppo,,2014,8,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,
11,female,Aleppo,,2014,11,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,male,Aleppo,,2014,8,,,,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
3,male,Damascus,,2013,5,3,0,3,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
6,male,Damascus,,2013,5,3,0,3,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
10,male,Damascus,,2013,5,3,0,3,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
13,male,Damascus,,2013,5,3,0,3,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
10,,Daraa,,2012,5,2,0,2,Unemployed,Unemployed,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,-1,0,1,0,0,0,1,0,0,0,0
13,female,Daraa,,2015,9,,,,Unemployeed ,Unemployed,0,1,0,,,Amman,1,1,1,0,0,0,0,1,-1,0,1,0,0,0,1,0,0,0,0,0
10,female,,,,7,,,,Unemployeed ,Unemployed,0,1,0,,,Amman,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,female,Aleppo,,2013,5,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
7,female,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,
7,female,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,female,Aleppo,,2014,9,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,female,Aleppo,,2014,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,female,Aleppo,,2014,5,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,female,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,1,-1,0,0,1,0,1,1,0,0,0,0,0
8,female,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0
8,female,Aleppo,,2014,9,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,1,-1,0,1,0,0,1,1,0,0,0,0,0
9,female,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,Aleppo,,2014,9,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
9,female,Aleppo,,2014,9,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,Aleppo,,2014,5,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,female,Aleppo,,2014,10,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,female,Aleppo,,2015,5,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,female,Aleppo,,2014,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
7,male,Aleppo,,2013,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
7,male,Aleppo,,,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
7,male,Aleppo,,2014,9,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0
8,male,Aleppo,,2014,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,0
8,male,Aleppo,,2015,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0
9,male,Aleppo,,2013,8,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,male,Aleppo,,2015,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,male,Aleppo,,2015,8,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,0,0,0
10,male,Aleppo,,2015,3,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
10,male,Aleppo,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
11,male,Aleppo,,2013,8,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
11,male,Damascus,,2014,4,,,,Worker,Blue Collar,0,1,0,,,Amman,1,0,1,0,0,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,0
9,female,Homs,,2014,7,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0
6,male,Homs,,2014,4,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,1,0,-1,-1,0,1,0,0,1,0,0,0,0,0
7,male,Homs,,2013,7,,,,Worker,Blue Collar,0,1,0,,,Amman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,male,Raqqa,,2014,6,,,,Worker,Blue Collar,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0
12,male,Daraa,Nawa,2012,6,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1
5,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
6,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
6,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
7,female,,,,,,,,,,0,1,0,,,Amman,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0
8,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
9,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
11,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0
11,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,female,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0
10,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,male,,,,,,,,,,0,1,0,,,Amman,1,1,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
14,male,,,,,,,,,,0,1,0,,,Amman,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,0,1,0,,,Amman,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,0,1,0,,,Amman,1,1,0,1,0,1,1,0,-1,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,0,1,0,,,Amman,1,1,1,0,0,0,1,1,-1,-1,1,1,0,0,1,0,0,0,0,0
,,,,,,,,,,,0,1,0,,,Amman,1,0,1,0,0,1,1,1,-1,0,1,1,1,1,1,0,0,0,0,0
,male,,,2012,10,4,4,8,Builder,Blue Collar,0,1,0,,,Hashmi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
13,male,Daraa ,,2013,9,4,3,7,Carpenter,Blue Collar,0,1,0,,,Hashmi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,male,Daraa ,Busra al-Harir,2013,7,2,3,5,Driver,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0
7,male,Daraa,Al-Shajara,2013,6,2,2,4,Farmer,Agriculture,0,1,0,,,Hashmi,1,1,1,0,0,1,1,1,-1,0,1,1,1,0,1,0,0,0,0,0
7,male,Daraa,Inkhil,2013,6,1,2,3,Farmer,Agriculture,0,1,0,,,Hashmi,1,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,male,Daraa,Nawa,2013,6,4,2,6,Farmer,Agriculture,0,1,0,,,Hashmi,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
7,male,Daraa,Tafas,2012,6,0,3,3,Farmer,Agriculture,0,1,0,,,Hashmi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,female,Daraa ,,2013,8,5,1,6,Hospitality,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,female,Daraa ,,2013,5,2,1,3,Hospitality,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
12,female,Daraa ,,2013,6,1,3,4,Hospitality,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,female,Daraa,Al-Sanamayn,2012,9,3,6,9,Labour,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,male,Daraa,Inkhil,2013,6,4,0,4,Labour,Blue Collar,0,1,0,,,Hashmi,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,1,0,0
7,male,Daraa,Nawa,2013,5,0,2,2,Labour,Blue Collar,0,1,0,,,Hashmi,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
8,female,Daraa ,,2013,8,1,5,6,Labour,Blue Collar,0,1,0,,,Hashmi,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
