"Region","Indicator","Unit","Date","Value"
"Burkina Faso","Proportion of Urban Population Living in Slum Area","Percent","1995",72.4
"Burkina Faso","Proportion of Urban Population Living in Slum Area","Percent","2000",65.9
"Burkina Faso","Proportion of Urban Population Living in Slum Area","Percent","2005",59.5
"Burkina Faso","Proportion of Urban Population Living in Slum Area","Percent","2007",59.5
"Burkina Faso","Urban Slum Population at mid-year","thousands","1990",960
"Burkina Faso","Urban Slum Population at mid-year","thousands","1995",1109
"Burkina Faso","Urban Slum Population at mid-year","thousands","2000",1374
"Burkina Faso","Urban Slum Population at mid-year","thousands","2005",1762
"Burkina Faso","Urban Slum Population at mid-year","thousands","2007",2029
"Burundi","Urban Population at mid-year","thousands","1990",357
"Burundi","Urban Population at mid-year","thousands","1995",450
"Burundi","Urban Population at mid-year","thousands","2000",552
"Burundi","Urban Population at mid-year","thousands","2005",749
"Burundi","Urban Population at mid-year","thousands","2007",858
"Burundi","Proportion of Urban Population Living in Slum Area","Percent","2005",64.3
"Burundi","Proportion of Urban Population Living in Slum Area","Percent","2007",64.3
"Burundi","Urban Slum Population at mid-year","thousands","1990",230
"Burundi","Urban Slum Population at mid-year","thousands","1995",289
"Burundi","Urban Slum Population at mid-year","thousands","2000",355
"Burundi","Urban Slum Population at mid-year","thousands","2005",452
"Burundi","Urban Slum Population at mid-year","thousands","2007",508
"Cameroon","Urban Population at mid-year","thousands","1990",4983
"Cameroon","Urban Population at mid-year","thousands","1995",6372
"Cameroon","Urban Population at mid-year","thousands","2000",7908
"Cameroon","Urban Population at mid-year","thousands","2005",9657
"Cameroon","Urban Population at mid-year","thousands","2007",10381
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","1990",50.8
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","1995",49.6
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","2000",48.4
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","2005",47.4
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","2007",46.6
"Cameroon","Proportion of Urban Population Living in Slum Area","Percent","2009",46.1
"Cameroon","Urban Slum Population at mid-year","thousands","1990",2532
"Cameroon","Urban Slum Population at mid-year","thousands","1995",3160
"Cameroon","Urban Slum Population at mid-year","thousands","2000",3826
"Cameroon","Urban Slum Population at mid-year","thousands","2005",4585
"Cameroon","Urban Slum Population at mid-year","thousands","2007",4870
"Cameroon","Urban Slum Population at mid-year","thousands","2009",5188
"Central African Republic","Urban Population at mid-year","thousands","1990",1108
"Central African Republic","Urban Population at mid-year","thousands","1995",1284
"Central African Republic","Urban Population at mid-year","thousands","2000",1454
"Central African Republic","Urban Population at mid-year","thousands","2005",1596
"Central African Republic","Urban Population at mid-year","thousands","2007",1665
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","1990",87.5
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","1995",89.7
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","2000",91.9
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","2005",94.1
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","2007",95
"Central African Republic","Proportion of Urban Population Living in Slum Area","Percent","2009",95.9
"Central African Republic","Urban Slum Population at mid-year","thousands","1990",943
"Central African Republic","Urban Slum Population at mid-year","thousands","1995",1113
"Central African Republic","Urban Slum Population at mid-year","thousands","2000",1296
"Central African Republic","Urban Slum Population at mid-year","thousands","2005",1470
"Central African Republic","Urban Slum Population at mid-year","thousands","2007",1551
"Central African Republic","Urban Slum Population at mid-year","thousands","2009",1642
"Chad","Urban Population at mid-year","thousands","1990",1272
"Chad","Urban Population at mid-year","thousands","1995",1568
"Chad","Urban Population at mid-year","thousands","2000",1979
"Chad","Urban Population at mid-year","thousands","2005",2563
"Chad","Urban Population at mid-year","thousands","2007",2819
"Chad","Proportion of Urban Population Living in Slum Area","Percent","1990",98.9
"Chad","Proportion of Urban Population Living in Slum Area","Percent","1995",96.4
"Chad","Proportion of Urban Population Living in Slum Area","Percent","2000",93.9
"Chad","Proportion of Urban Population Living in Slum Area","Percent","2005",91.3
"Chad","Proportion of Urban Population Living in Slum Area","Percent","2007",90.3
"Chad","Proportion of Urban Population Living in Slum Area","Percent","2009",89.3
"Chad","Urban Slum Population at mid-year","thousands","1990",1257
"Chad","Urban Slum Population at mid-year","thousands","1995",1507
"Chad","Urban Slum Population at mid-year","thousands","2000",1844
"Chad","Urban Slum Population at mid-year","thousands","2005",2312
"Chad","Urban Slum Population at mid-year","thousands","2007",2509
"Chad","Urban Slum Population at mid-year","thousands","2009",2714
"Comoros","Urban Population at mid-year","thousands","1990",147
"Comoros","Urban Population at mid-year","thousands","1995",172
"Comoros","Urban Population at mid-year","thousands","2000",196
"Comoros","Urban Population at mid-year","thousands","2005",223
"Comoros","Urban Population at mid-year","thousands","2007",234
"Comoros","Proportion of Urban Population Living in Slum Area","Percent","1990",65.4
"Comoros","Proportion of Urban Population Living in Slum Area","Percent","1995",65.4
"Comoros","Proportion of Urban Population Living in Slum Area","Percent","2000",65.4
"Comoros","Proportion of Urban Population Living in Slum Area","Percent","2005",68.9
"Comoros","Proportion of Urban Population Living in Slum Area","Percent","2007",68.9
"Comoros","Urban Slum Population at mid-year","thousands","1990",80
"Comoros","Urban Slum Population at mid-year","thousands","1995",91
"Comoros","Urban Slum Population at mid-year","thousands","2000",101
"Comoros","Urban Slum Population at mid-year","thousands","2005",119
"Comoros","Urban Slum Population at mid-year","thousands","2007",124
"Congo","Urban Population at mid-year","thousands","1990",1316
"Congo","Urban Population at mid-year","thousands","1995",1576
"Congo","Urban Population at mid-year","thousands","2000",1868
"Congo","Urban Population at mid-year","thousands","2005",2172
"Congo","Urban Population at mid-year","thousands","2007",2296
"Congo","Proportion of Urban Population Living in Slum Area","Percent","2005",53.4
"Congo","Proportion of Urban Population Living in Slum Area","Percent","2007",51.7
"Congo","Proportion of Urban Population Living in Slum Area","Percent","2009",49.9
"Congo","Urban Slum Population at mid-year","thousands","2005",1098
"Congo","Urban Slum Population at mid-year","thousands","2007",1119
"Congo","Urban Slum Population at mid-year","thousands","2009",1134
"Côted'Ivoire","Urban Population at mid-year","thousands","1990",5079
"Côted'Ivoire","Urban Population at mid-year","thousands","1995",6200
"Côted'Ivoire","Urban Population at mid-year","thousands","2000",7423
"Côted'Ivoire","Urban Population at mid-year","thousands","2005",8704
"Côted'Ivoire","Urban Population at mid-year","thousands","2007",9277
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","1990",53.4
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","1995",54.3
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","2000",55.3
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","2005",56.2
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","2007",56.6
"Côted'Ivoire","Proportion of Urban Population Living in Slum Area","Percent","2009",57
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","1990",2674
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","1995",3366
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","2000",4158
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","2005",5066
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","2007",5496
"Côted'Ivoire","Urban Slum Population at mid-year","thousands","2009",5979
"Democratic Republic of the Congo","Urban Population at mid-year","thousands","1990",10556
"Democratic Republic of the Congo","Urban Population at mid-year","thousands","1995",12892
"Democratic Republic of the Congo","Urban Population at mid-year","thousands","2000",15126
"Democratic Republic of the Congo","Urban Population at mid-year","thousands","2005",18860
"Democratic Republic of the Congo","Urban Population at mid-year","thousands","2007",20841
"Democratic Republic of the Congo","Proportion of Urban Population Living in Slum Area","Percent","2005",76.4
"Democratic Republic of the Congo","Proportion of Urban Population Living in Slum Area","Percent","2007",69.1
"Democratic Republic of the Congo","Proportion of Urban Population Living in Slum Area","Percent","2009",61.7
"Democratic Republic of the Congo","Urban Slum Population at mid-year","thousands","2005",14491
"Democratic Republic of the Congo","Urban Slum Population at mid-year","thousands","2007",14375
"Democratic Republic of the Congo","Urban Slum Population at mid-year","thousands","2009",14079
"Egypt","Urban Population at mid-year","thousands","1990",23972
"Egypt","Urban Population at mid-year","thousands","1995",25966
"Egypt","Urban Population at mid-year","thousands","2000",28364
"Egypt","Urban Population at mid-year","thousands","2005",31062
"Egypt","Urban Population at mid-year","thousands","2007",32193
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","1990",50.2
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","1995",39.2
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","2000",28.1
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","2005",17.1
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","2007",17.1
"Egypt","Proportion of Urban Population Living in Slum Area","Percent","2009",17.1
"Egypt","Urban Slum Population at mid-year","thousands","1990",12607
"Egypt","Urban Slum Population at mid-year","thousands","1995",10704
"Egypt","Urban Slum Population at mid-year","thousands","2000",8447
"Egypt","Urban Slum Population at mid-year","thousands","2005",5677
"Egypt","Urban Slum Population at mid-year","thousands","2007",5903
"Egypt","Urban Slum Population at mid-year","thousands","2009",6143
"Equatorial Guinea","Urban Population at mid-year","thousands","1990",118
"Equatorial Guinea","Urban Population at mid-year","thousands","1995",148
"Equatorial Guinea","Urban Population at mid-year","thousands","2000",167
"Equatorial Guinea","Urban Population at mid-year","thousands","2005",188
"Equatorial Guinea","Urban Population at mid-year","thousands","2007",199
"Equatorial Guinea","Proportion of Urban Population Living in Slum Area","Percent","2005",66.3
"Equatorial Guinea","Urban Slum Population at mid-year","thousands","2005",157
"Ethiopia","Urban Population at mid-year","thousands","1990",6455
"Ethiopia","Urban Population at mid-year","thousands","1995",8381
"Ethiopia","Urban Population at mid-year","thousands","2000",10339
"Ethiopia","Urban Population at mid-year","thousands","2005",12687
"Ethiopia","Urban Population at mid-year","thousands","2007",13813
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","1990",95.5
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","1995",95.5
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","2000",88.6
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","2005",81.8
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","2007",79.1
"Ethiopia","Proportion of Urban Population Living in Slum Area","Percent","2009",76.4
"Ethiopia","Urban Slum Population at mid-year","thousands","1990",5819
"Ethiopia","Urban Slum Population at mid-year","thousands","1995",7562
"Ethiopia","Urban Slum Population at mid-year","thousands","2000",8653
"Ethiopia","Urban Slum Population at mid-year","thousands","2005",9729
"Ethiopia","Urban Slum Population at mid-year","thousands","2007",10067
"Ethiopia","Urban Slum Population at mid-year","thousands","2009",10427
"Gabon","Urban Population at mid-year","thousands","1990",635
"Gabon","Urban Population at mid-year","thousands","1995",796
"Gabon","Urban Population at mid-year","thousands","2000",948
"Gabon","Urban Population at mid-year","thousands","2005",1079
"Gabon","Urban Population at mid-year","thousands","2007",1127
"Gabon","Proportion of Urban Population Living in Slum Area","Percent","2005",38.7
"Gabon","Urban Slum Population at mid-year","thousands","2005",443
"Gambia","Urban Population at mid-year","thousands","1990",369
"Gambia","Urban Population at mid-year","thousands","1995",508
"Gambia","Urban Population at mid-year","thousands","2000",680
"Gambia","Urban Population at mid-year","thousands","2005",872
"Gambia","Urban Population at mid-year","thousands","2007",951
"Gambia","Proportion of Urban Population Living in Slum Area","Percent","2005",45.4
"Gambia","Proportion of Urban Population Living in Slum Area","Percent","2007",34.8
"Gambia","Urban Slum Population at mid-year","thousands","2005",373
"Gambia","Urban Slum Population at mid-year","thousands","2007",313
"Ghana","Urban Population at mid-year","thousands","1990",5677
"Ghana","Urban Population at mid-year","thousands","1995",7180
"Ghana","Urban Population at mid-year","thousands","2000",8856
"Ghana","Urban Population at mid-year","thousands","2005",10763
"Ghana","Urban Population at mid-year","thousands","2007",11566
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","1990",65.5
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","1995",58.8
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","2000",52.1
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","2005",45.4
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","2007",42.8
"Ghana","Proportion of Urban Population Living in Slum Area","Percent","2009",40.1
"Ghana","Urban Slum Population at mid-year","thousands","1990",3571
"Ghana","Urban Slum Population at mid-year","thousands","1995",4070
"Ghana","Urban Slum Population at mid-year","thousands","2000",4473
"Ghana","Urban Slum Population at mid-year","thousands","2005",4755
"Ghana","Urban Slum Population at mid-year","thousands","2007",4817
"Ghana","Urban Slum Population at mid-year","thousands","2009",4848
"Guinea","Urban Population at mid-year","thousands","1990",1691
"Guinea","Urban Population at mid-year","thousands","1995",2159
"Guinea","Urban Population at mid-year","thousands","2000",2547
"Guinea","Urban Population at mid-year","thousands","2005",2970
"Guinea","Urban Population at mid-year","thousands","2007",3176
"Guinea","Proportion of Urban Population Living in Slum Area","Percent","1990",80.4
"Guinea","Proportion of Urban Population Living in Slum Area","Percent","1995",68.8
"Guinea","Proportion of Urban Population Living in Slum Area","Percent","2000",57.3
"Guinea","Proportion of Urban Population Living in Slum Area","Percent","2005",45.7
"Guinea","Proportion of Urban Population Living in Slum Area","Percent","2007",45.7
"Guinea","Urban Slum Population at mid-year","thousands","1990",1385
"Guinea","Urban Slum Population at mid-year","thousands","1995",1517
"Guinea","Urban Slum Population at mid-year","thousands","2000",1490
"Guinea","Urban Slum Population at mid-year","thousands","2005",1390
"Guinea","Urban Slum Population at mid-year","thousands","2007",1489
"Guinea-Bissau","Urban Population at mid-year","thousands","1990",286
"Guinea-Bissau","Urban Population at mid-year","thousands","1995",355
"Guinea-Bissau","Urban Population at mid-year","thousands","2000",407
"Guinea-Bissau","Urban Population at mid-year","thousands","2005",473
"Guinea-Bissau","Urban Population at mid-year","thousands","2007",503
"Guinea-Bissau","Proportion of Urban Population Living in Slum Area","Percent","2005",83.1
"Guinea-Bissau","Urban Slum Population at mid-year","thousands","2005",362
"Kenya","Urban Population at mid-year","thousands","1990",4273
"Kenya","Urban Population at mid-year","thousands","1995",5193
"Kenya","Urban Population at mid-year","thousands","2000",6167
"Kenya","Urban Population at mid-year","thousands","2005",7384
"Kenya","Urban Population at mid-year","thousands","2007",7982
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","1990",54.9
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","1995",54.8
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","2000",54.8
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","2005",54.8
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","2007",54.8
"Kenya","Proportion of Urban Population Living in Slum Area","Percent","2009",54.7
"Kenya","Urban Slum Population at mid-year","thousands","1990",2343
"Kenya","Urban Slum Population at mid-year","thousands","1995",2859
"Kenya","Urban Slum Population at mid-year","thousands","2000",3400
"Kenya","Urban Slum Population at mid-year","thousands","2005",4069
"Kenya","Urban Slum Population at mid-year","thousands","2007",4396
"Kenya","Urban Slum Population at mid-year","thousands","2009",4762
"Lesotho","Urban Population at mid-year","thousands","1990",224
"Lesotho","Urban Population at mid-year","thousands","1995",292
"Lesotho","Urban Population at mid-year","thousands","2000",377
"Lesotho","Urban Population at mid-year","thousands","2005",461
"Lesotho","Urban Population at mid-year","thousands","2007",496
"Lesotho","Proportion of Urban Population Living in Slum Area","Percent","2005",35.1
"Lesotho","Proportion of Urban Population Living in Slum Area","Percent","2007",44.4
"Lesotho","Proportion of Urban Population Living in Slum Area","Percent","2009",53.7
"Lesotho","Urban Slum Population at mid-year","thousands","2005",163
"Lesotho","Urban Slum Population at mid-year","thousands","2007",223
"Lesotho","Urban Slum Population at mid-year","thousands","2009",290
"Liberia","Proportion of Urban Population Living in Slum Area","Percent","2009",68.3
"Liberia","Urban Slum Population at mid-year","thousands","2009",1282
"Madagascar","Urban Population at mid-year","thousands","1990",2836
"Madagascar","Urban Population at mid-year","thousands","1995",3598
"Madagascar","Urban Population at mid-year","thousands","2000",4390
"Madagascar","Urban Population at mid-year","thousands","2005",5313
"Madagascar","Urban Population at mid-year","thousands","2007",5733
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","1990",93
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","1995",88.6
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","2000",84.1
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","2005",80.6
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","2007",78
"Madagascar","Proportion of Urban Population Living in Slum Area","Percent","2009",76.2
"Madagascar","Urban Slum Population at mid-year","thousands","1990",2470
"Madagascar","Urban Slum Population at mid-year","thousands","1995",2997
"Madagascar","Urban Slum Population at mid-year","thousands","2000",3486
"Madagascar","Urban Slum Population at mid-year","thousands","2005",4046
"Madagascar","Urban Slum Population at mid-year","thousands","2007",4225
"Madagascar","Urban Slum Population at mid-year","thousands","2009",4460
"Malawi","Urban Population at mid-year","thousands","1990",1092
"Malawi","Urban Population at mid-year","thousands","1995",1338
"Malawi","Urban Population at mid-year","thousands","2000",1764
"Malawi","Urban Population at mid-year","thousands","2005",2293
"Malawi","Urban Population at mid-year","thousands","2007",2545
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","1990",66.4
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","1995",66.4
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","2000",66.4
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","2005",66.4
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","2007",67.7
"Malawi","Proportion of Urban Population Living in Slum Area","Percent","2009",68.9
"Malawi","Urban Slum Population at mid-year","thousands","1990",725
"Malawi","Urban Slum Population at mid-year","thousands","1995",893
"Malawi","Urban Slum Population at mid-year","thousands","2000",1192
"Malawi","Urban Slum Population at mid-year","thousands","2005",1572
"Malawi","Urban Slum Population at mid-year","thousands","2007",1786
"Malawi","Urban Slum Population at mid-year","thousands","2009",2027
"Mali","Urban Population at mid-year","thousands","1990",1789
"Mali","Urban Population at mid-year","thousands","1995",2229
"Mali","Urban Population at mid-year","thousands","2000",2787
"Mali","Urban Population at mid-year","thousands","2005",3537
"Mali","Urban Population at mid-year","thousands","2007",3896
"Mali","Proportion of Urban Population Living in Slum Area","Percent","1990",94.2
"Mali","Proportion of Urban Population Living in Slum Area","Percent","1995",84.8
"Mali","Proportion of Urban Population Living in Slum Area","Percent","2000",75.4
"Mali","Proportion of Urban Population Living in Slum Area","Percent","2005",65.9
"Mali","Proportion of Urban Population Living in Slum Area","Percent","2007",65.9
"Mali","Proportion of Urban Population Living in Slum Area","Percent","2009",65.9
"Mali","Urban Slum Population at mid-year","thousands","1990",1902
"Mali","Urban Slum Population at mid-year","thousands","1995",2066
"Mali","Urban Slum Population at mid-year","thousands","2000",2247
"Mali","Urban Slum Population at mid-year","thousands","2005",2496
"Mali","Urban Slum Population at mid-year","thousands","2007",2743
"Mali","Urban Slum Population at mid-year","thousands","2009",3009
"Morocco","Urban Population at mid-year","thousands","1990",12005
"Morocco","Urban Population at mid-year","thousands","1995",13931
"Morocco","Urban Population at mid-year","thousands","2000",15375
"Morocco","Urban Population at mid-year","thousands","2005",16763
"Morocco","Urban Population at mid-year","thousands","2007",17377
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","1990",37.4
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","1995",35.2
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","2000",24.2
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","2005",13.1
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","2007",13.1
"Morocco","Proportion of Urban Population Living in Slum Area","Percent","2009",13.1
"Morocco","Urban Slum Population at mid-year","thousands","1990",4490
"Morocco","Urban Slum Population at mid-year","thousands","1995",4904
"Morocco","Urban Slum Population at mid-year","thousands","2000",3713
"Morocco","Urban Slum Population at mid-year","thousands","2005",2205
"Morocco","Urban Slum Population at mid-year","thousands","2007",2308
"Morocco","Urban Slum Population at mid-year","thousands","2009",2416
"Mozambique","Urban Population at mid-year","thousands","1990",2857
"Mozambique","Urban Population at mid-year","thousands","1995",4180
"Mozambique","Urban Population at mid-year","thousands","2000",5584
"Mozambique","Urban Population at mid-year","thousands","2005",7084
"Mozambique","Urban Population at mid-year","thousands","2007",7718
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","1990",75.6
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","1995",76.9
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","2000",78.2
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","2005",79.5
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","2007",80
"Mozambique","Proportion of Urban Population Living in Slum Area","Percent","2009",80.5
"Mozambique","Urban Slum Population at mid-year","thousands","1990",2161
"Mozambique","Urban Slum Population at mid-year","thousands","1995",3216
"Mozambique","Urban Slum Population at mid-year","thousands","2000",4381
"Mozambique","Urban Slum Population at mid-year","thousands","2005",5714
"Mozambique","Urban Slum Population at mid-year","thousands","2007",6311
"Mozambique","Urban Slum Population at mid-year","thousands","2009",6940
"Namibia","Urban Population at mid-year","thousands","1990",392
"Namibia","Urban Population at mid-year","thousands","1995",494
"Namibia","Urban Population at mid-year","thousands","2000",608
"Namibia","Urban Population at mid-year","thousands","2005",708
"Namibia","Urban Population at mid-year","thousands","2007",751
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","1990",34.4
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","1995",34.1
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","2000",33.9
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","2005",33.9
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","2007",33.6
"Namibia","Proportion of Urban Population Living in Slum Area","Percent","2009",33.5
"Namibia","Urban Slum Population at mid-year","thousands","1990",135
"Namibia","Urban Slum Population at mid-year","thousands","1995",165
"Namibia","Urban Slum Population at mid-year","thousands","2000",200
"Namibia","Urban Slum Population at mid-year","thousands","2005",239
"Namibia","Urban Slum Population at mid-year","thousands","2007",254
"Namibia","Urban Slum Population at mid-year","thousands","2009",272
"Niger","Urban Population at mid-year","thousands","1990",1202
"Niger","Urban Population at mid-year","thousands","1995",1465
"Niger","Urban Population at mid-year","thousands","2000",1801
"Niger","Urban Population at mid-year","thousands","2005",2161
"Niger","Urban Population at mid-year","thousands","2007",2331
"Niger","Proportion of Urban Population Living in Slum Area","Percent","1990",83.6
"Niger","Proportion of Urban Population Living in Slum Area","Percent","1995",83.1
"Niger","Proportion of Urban Population Living in Slum Area","Percent","2000",82.6
"Niger","Proportion of Urban Population Living in Slum Area","Percent","2005",82.1
"Niger","Proportion of Urban Population Living in Slum Area","Percent","2007",81.9
"Niger","Proportion of Urban Population Living in Slum Area","Percent","2009",81.7
"Niger","Urban Slum Population at mid-year","thousands","1990",1016
"Niger","Urban Slum Population at mid-year","thousands","1995",1219
"Niger","Urban Slum Population at mid-year","thousands","2000",1475
"Niger","Urban Slum Population at mid-year","thousands","2005",1787
"Niger","Urban Slum Population at mid-year","thousands","2007",1944
"Niger","Urban Slum Population at mid-year","thousands","2009",2121
"Nigeria","Urban Population at mid-year","thousands","1990",33325
"Nigeria","Urban Population at mid-year","thousands","1995",42372
"Nigeria","Urban Population at mid-year","thousands","2000",53048
"Nigeria","Urban Population at mid-year","thousands","2005",65270
"Nigeria","Urban Population at mid-year","thousands","2007",70539
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","1990",77.3
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","1995",73.5
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","2000",69.6
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","2005",65.8
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","2007",64.2
"Nigeria","Proportion of Urban Population Living in Slum Area","Percent","2009",62.7
"Nigeria","Urban Slum Population at mid-year","thousands","1990",26549
"Nigeria","Urban Slum Population at mid-year","thousands","1995",31538
"Nigeria","Urban Slum Population at mid-year","thousands","2000",36951
"Nigeria","Urban Slum Population at mid-year","thousands","2005",42783
"Nigeria","Urban Slum Population at mid-year","thousands","2007",45195
"Nigeria","Urban Slum Population at mid-year","thousands","2009",47612
"Rwanda","Urban Population at mid-year","thousands","1990",395
"Rwanda","Urban Population at mid-year","thousands","1995",468
"Rwanda","Urban Population at mid-year","thousands","2000",1126
"Rwanda","Urban Population at mid-year","thousands","2005",1619
"Rwanda","Urban Population at mid-year","thousands","2007",1753
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","1990",96
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","1995",87.9
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","2000",79.7
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","2005",71.6
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","2007",68.3
"Rwanda","Proportion of Urban Population Living in Slum Area","Percent","2009",65.1
"Rwanda","Urban Slum Population at mid-year","thousands","1990",372
"Rwanda","Urban Slum Population at mid-year","thousands","1995",397
"Rwanda","Urban Slum Population at mid-year","thousands","2000",874
"Rwanda","Urban Slum Population at mid-year","thousands","2005",1129
"Rwanda","Urban Slum Population at mid-year","thousands","2007",1165
"Rwanda","Urban Slum Population at mid-year","thousands","2009",1208
"Senegal","Urban Population at mid-year","thousands","1990",3075
"Senegal","Urban Population at mid-year","thousands","1995",3603
"Senegal","Urban Population at mid-year","thousands","2000",4200
