"location","variable","Unit","Date","Value"
"Angola","Groundwater produced internally","10^9 m3/yr","1972",58
"Angola","Groundwater produced internally","10^9 m3/yr","1977",58
"Angola","Groundwater produced internally","10^9 m3/yr","1982",58
"Angola","Groundwater produced internally","10^9 m3/yr","1987",58
"Angola","Groundwater produced internally","10^9 m3/yr","1992",58
"Angola","Groundwater produced internally","10^9 m3/yr","1997",58
"Angola","Groundwater produced internally","10^9 m3/yr","2002",58
"Angola","Groundwater produced internally","10^9 m3/yr","2007",58
"Angola","Groundwater produced internally","10^9 m3/yr","2012",58
"Angola","Groundwater produced internally","10^9 m3/yr","2014",58
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1962",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1967",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1972",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1977",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1982",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1987",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1992",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","1997",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","2002",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","2007",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","2012",55
"Angola","Overlap between surface water and groundwater","10^9 m3/yr","2014",55
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1962",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1967",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1972",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1977",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1982",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1987",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1992",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","1997",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","2002",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","2007",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","2012",148
"Angola","Total internal renewable water resources (IRWR)","10^9 m3/yr","2014",148
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1962",27076
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1967",24820
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1972",22465
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1977",19731
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1982",16803
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1987",14388
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1992",12491
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","1997",10723
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","2002",9187
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","2007",7715
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","2012",6524
"Angola","Total internal renewable water resources per capita","m3/inhab/yr","2014",5915
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1962",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1967",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1972",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1977",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1982",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1987",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1992",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","1997",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","2002",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","2007",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","2012",0.4
"Angola","Surface water: entering the country (total)","10^9 m3/yr","2014",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1962",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1967",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1972",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1977",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1982",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1987",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1992",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","1997",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","2002",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","2007",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","2012",0.4
"Angola","Surface water: inflow not submitted to treaties","10^9 m3/yr","2014",0.4
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1962",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1967",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1972",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1977",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1982",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1987",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1992",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","1997",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","2002",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","2007",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","2012",0
"Angola","Surface water: inflow submitted to treaties","10^9 m3/yr","2014",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1962",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1967",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1972",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1977",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1982",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1987",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1992",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","1997",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","2002",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","2007",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","2012",0
"Angola","Surface water: inflow secured through treaties","10^9 m3/yr","2014",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1962",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1967",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1972",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1977",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1982",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1987",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1992",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","1997",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","2002",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","2007",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","2012",0
"Angola","Surface water: total flow of border rivers","10^9 m3/yr","2014",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1962",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1967",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1972",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1977",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1982",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1987",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1992",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","1997",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","2002",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","2007",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","2012",0
"Angola","Surface water: accounted flow of border rivers","10^9 m3/yr","2014",0
"Angola","Surface water: accounted inflow","10^9 m3/yr","1962",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1967",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1972",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1977",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1982",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1987",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1992",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","1997",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","2002",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","2007",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","2012",0.4
"Angola","Surface water: accounted inflow","10^9 m3/yr","2014",0.4
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1962",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1967",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1972",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1977",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1982",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1987",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1992",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","1997",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","2002",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","2007",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","2012",122.8
"Angola","Surface water: leaving the country (total)","10^9 m3/yr","2014",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1962",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1967",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1972",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1977",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1982",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1987",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1992",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","1997",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","2002",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","2007",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","2012",122.8
"Angola","Surface water: outflow not submitted to treaties","10^9 m3/yr","2014",122.8
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1962",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1967",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1972",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1977",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1982",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1987",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1992",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","1997",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","2002",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","2007",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","2012",0
"Angola","Surface water: outflow submitted to treaties","10^9 m3/yr","2014",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1962",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1967",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1972",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1977",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1982",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1987",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1992",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","1997",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","2002",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","2007",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","2012",0
"Angola","Surface water: outflow secured through treaties","10^9 m3/yr","2014",0
"Angola","Surface water: total external renewable","10^9 m3/yr","1962",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1967",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1972",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1977",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1982",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1987",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1992",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","1997",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","2002",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","2007",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","2012",0.4
"Angola","Surface water: total external renewable","10^9 m3/yr","2014",0.4
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1962",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1967",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1972",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1977",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1982",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1987",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1992",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","1997",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","2002",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","2007",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","2012",0
"Angola","Groundwater: entering the country (total)","10^9 m3/yr","2014",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1962",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1967",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1972",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1977",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1982",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1987",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1992",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","1997",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","2002",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","2007",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","2012",0
"Angola","Groundwater: accounted inflow","10^9 m3/yr","2014",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1962",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1967",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1972",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1977",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1982",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1987",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1992",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","1997",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","2002",0
"Angola","Groundwater: leaving the country (total)","10^9 m3/yr","2007",0
